"","(Intercept)_lm","V1_lm","V2_lm","V3_lm","V4_lm","V5_lm","V6_lm","V7_lm","V8_lm","(Intercept)_lasso","V1_lasso","V2_lasso","V3_lasso","V4_lasso","V5_lasso","V6_lasso","V7_lasso","V8_lasso","V1_lasso_diff","V2_lasso_diff","V3_lasso_diff","V4_lasso_diff","V5_lasso_diff","V6_lasso_diff","V7_lasso_diff","V8_lasso_diff","(Intercept)_lasso_diff"
"my_estimates.10",-5.44993070193986,0.142053365300806,6.40605026814173,-1.11907930834476,4.84865142797493,5.00885203425058,5.10400874169367,0.107611295509396,0.868397663437288,3.30309119282247,0,4.87984374496627,0,4.82236418978019,4.93060458774774,4.93169951442774,0,0,0,4.70237252060842,0,4.80050057937279,4.9087224549507,4.96571151973472,0,0,3.99528610675315
"my_estimates.11",-0.437649440702491,0.355261935919211,5.35821598756684,-0.419331799719607,4.9070719488737,5.04154380133762,4.98002483639386,0.120728205405052,0.0694163623286925,4.50152502970109,0.103836190703765,4.65910893878217,0,4.76373093808186,4.88438122774687,4.9359410954116,0,0,0,4.65763761939939,0,4.64950836205636,4.90806017434423,4.92541949285028,0,0,5.98280773350907
"my_estimates.12",1.72978860474513,0.144383411313839,4.00109723355727,0.915953227703022,4.98141490618342,5.10558401255554,4.95071415234864,0.0146558752794808,-0.355170036198388,3.00200009863142,0,4.75029316526699,0,4.89037015953178,4.97111837389529,4.93721284772122,0,0,0,4.65177170361968,0,4.73839634342579,4.92409902627308,4.95627896531331,0,0,5.0122040552303
"my_estimates.13",-1.33693449743508,0.157461081784276,3.49929715176038,1.36779931645417,5.28654137072729,4.9379993868485,5.02362949120561,-0.425070187732752,-0.298415548743874,1.56364676447898,0,4.95894731991604,0,4.87685826679827,4.94220810760048,4.98268176822138,0,0,0,4.80141345699759,0,4.79175783562218,4.94406894339156,4.94188069863837,0,0,3.8035211840582
"my_estimates.14",1.36756404279843,-0.282970794687899,5.81717178288138,-0.821015797646367,5.15107033513878,5.18050686726273,5.0414040643962,0.0673493997320199,-0.281522070392514,4.92843966724914,0,4.78029212671869,0,4.65648221586665,4.94959007989298,4.9459694247306,0,0,0.147470198522128,4.69101126935021,0,4.88749036909845,4.94023153143389,4.91694681311104,0,0,2.85606460526488
"my_estimates.15",0.989369688672187,0.0203199178016595,3.80466939550074,1.10085962088719,4.84296527597623,4.97008518497598,4.9534948183228,0.50511854507952,-0.0380727594503828,2.52537072100386,0,4.74852321155962,0,4.93381326038658,4.93587857097443,4.94676216040326,0,0,0,4.76657189691698,0,4.70785701520028,4.90979015987275,4.92722242461229,0,-0.026548684741791,5.22990927191931
"my_estimates.16",-1.77630494523626,-0.456487948400243,5.89049866244841,0.0663508631456314,4.96640413108381,5.04060353682011,4.95718499062567,-0.129303954847207,0.132553937284653,4.74490996562836,0,4.66213884436141,0,4.80197680186446,4.89301830503936,4.93496781963467,0,0,0,4.69524874013741,0.000265825345109762,4.71092887178894,4.88254033260205,4.9138129676079,0,0,5.42263192023879
"my_estimates.17",-9.37947918445779,0.380391510823814,5.6002326533635,-0.907849786219651,5.81052984543254,5.0363811038689,5.00328412007445,-0.285535191452265,0.439179747678835,4.81069699057449,0,4.70935231253428,0,4.76873239997956,4.89675977180847,4.92342964069763,0,0,0,4.64229155433703,0,4.73748154203045,4.97290293183084,4.93577101594277,0,0,4.9996134205159
"my_estimates.18",1.09537838666609,-0.561288828603071,4.74191416203528,0.508498349177392,4.79588753627919,5.24679136241642,4.99823156903388,0.370057219111756,0.124488596670621,-0.078959058069713,0,4.94286461012995,0,5.10293680177875,4.94378144727236,4.93033635290543,0,0,0.0136075320446772,4.69320423593906,0,4.52913257496743,4.88944867845512,4.91144979469552,0,0,7.13747706031657
"my_estimates.19",-7.85476828338227,0.2220669643051,4.75936327990272,0.209433150767014,5.15006365926031,5.0519354202331,4.89570562192921,0.0424981532830785,1.01489272025069,2.17321289130225,0,4.6841869779926,0,4.98209908854777,4.92610620501416,4.93846665036179,0,0,0,4.56214811294554,0.0933104550228159,4.76817310319687,4.87185313460426,4.92802019072964,0,0,4.96481827300623
"my_estimates.20",-3.62521713149256,-0.952478950379253,6.68043056906075,-0.980811452051249,5.13647026594146,4.92829538131986,4.97637852805426,0.083605560367496,0.353740690540339,4.32159494894007,0.0646428332654972,4.71233450218952,0,4.78886395082293,4.921591783415,4.93210289581568,0,0,0,4.62633335354574,0,4.67985651015985,4.92900749777564,4.93568760434635,0,0,5.70258742765194
"my_estimates.21",-0.174914996407874,0.00466499603902862,6.50545278413358,-1.87836277921239,5.14804974776344,5.06846278837206,5.07402996400296,-0.272639693848344,0.215077161398993,3.12888995136437,0,4.62508198291593,0.226537417635761,4.82408131332511,4.90717478968629,4.91253782093181,0,0,0,4.7771063836912,0,4.90927335030521,4.95860689664898,4.97747677964015,0,0,2.21502590528875
