"","X","X.Intercept.","V1","V2","V3","V4","V5","V6","V7","V8"
"85","...85",5.49243161935848,0,4.63793626909534,0,4.71817607119097,4.90380807241673,4.88901743312546,0,0
"86","...86",3.78068357594656,0.0913048243165715,4.74247032301278,0,4.78817769963079,4.94035150893233,4.92683894775686,0,0
"87","...87",3.80820375115002,0.0114375904524043,4.62777902415757,0,4.83511136499524,4.94162605091094,4.97449607163212,0,0
"88","...88",1.71421127235085,0.104827920348634,4.72693510220504,0,5.0117625430107,4.90798959890381,4.93527831178158,0,0
"89","...89",6.00495071902511,0,4.63149578361016,0.199008984605487,4.60531828680259,4.89332817511913,4.88202306812897,0,0
"90","...90",4.88928714312047,0,4.62924215247807,0,4.8353690610751,4.88585702143592,4.89999078097209,0,0
"91","...91",5.26997191311655,0,4.64723542166513,0,4.7011801948604,4.89848488721364,4.93680963520709,0,0
"92","...92",6.36191503082983,0,4.5742010033307,0.172161461264726,4.6187244269395,4.90015104600393,4.89536048565533,0,0
"93","...93",3.19796817448815,0,4.83585632352833,0,4.84637210754802,4.95146314609089,4.95210961923223,0,0
"94","...94",4.30932201889727,0,4.66889164160404,0,4.83952159525306,4.92137711446545,4.90106468523735,0,0
"95","...95",3.75130821882102,0,4.77055896399941,0,4.81206266095668,4.96668850416129,4.96219357198448,0,0
"96","...96",4.33217277628269,0,4.54747595055569,0.115572728342577,4.78392380728619,4.9024722535705,4.93716335054833,0,0
"97","...97",4.78308937767041,0,4.63667969641074,0,4.76871199215818,4.89637962663518,4.94636298412708,0,0
"98","...98",4.23929160566877,0,4.82822902222384,0,4.71124949858295,4.90016139463008,4.94218891059831,0,0
"99","...99",2.34586927769972,0,4.81861165277694,0,4.93243145595638,4.91559397215713,4.92504608731484,0,0
"100","...100",3.74913733003068,0,4.7965814088258,0,4.79292112965727,4.93078398633935,4.9349177312807,0,0
"101","...101",3.85100431224766,0,4.54271565129993,0.185169670885709,4.7959077149627,4.93658312988198,4.93358636735961,0,0
